LandProvince;SeaZone;x;y
kitagnaq;kialegak_cape;16347;7212;x
skaun;trondheim_fjord;8148;7232;x
imangaq;nunam_iqua_cove;202;7208;x
qerrulliiq;pastol_bay;272;7213;x
gacgatagyn;beringovskii_cape2;15857;7197;x
sjalevad;west_botnia;8537;7213;x
molde;nordfjord_sea;8015;7183;x
harnosand;west_botnia;8522;7190;x
sunndal;tingvoll_fjord;8077;7194;x
kimmirut;big_island;4524;7178;x
rauma;nordfjord_sea;8028;7175;x
borgund;nordfjord_sea;7981;7168;x
manily;okhosk_coast1;15189;7171;x
selanger;west_botnia;8495;7160;x
paren;okhosk_coast1;15142;7172;x
mejnypilgyn;vaarn_yechgyn;15739;7164;x
koppo;east_botnia;8655;7158;x
marayaarmiut;scammon_bay;148;7137;x
sunnmore;nordfjord_sea;7956;7145;x
torshavn;faroe_islands1;7376;7128;x
stordal;nordfjord_sea;8009;7139;x
vatyrkan;khatyrka_coast;15661;7127;x
eid;nordfjord_sea;7929;7121;x
hudiksvall;west_botnia;8484;7110;x
chivitkino;okhosk_coast12;14973;7111;x
evenksk;okhosk_coast14;14923;7118;x
gizhiga;okhosk_coast12;14984;7099;x
stryn;nordfjord_sea;7986;7116;x
ce_vaq;scammon_bay;137;7105;x
kushka;okhosk_coast14;14869;7111;x
vukvylgayat;bukhta_anastasii;15579;7087;x
bjorneborg;east_botnia;8672;7100;x
merenga;okhosk_coast14;14828;7092;x
sunnfjord;nordfjord_sea;7925;7093;x
arsuk;neria_coast;5476;7077;x
k_enakatnu;ursus_cove;868;7079;x
dgheyaytnu;ursus_cove;872;7058;x
raumo;east_botnia;8668;7077;x
laerdal;sogne_fjord;8022;7067;x
sogndal;sogne_fjord;8000;7067;x
gronnedal;neria_coast;5501;7076;x
brattahlid;qaqortoq_coast;5621;7066;x
tyonek;ursus_cove;786;7038;x
ivituut;neria_coast;5498;7057;x
caniqaq;hinchinbrook_bay;945;7037;x
taatiilaaq;hinchinbrook_bay;1003;7049;x
machevna;ozero_tyulen_ye1;15514;7040;x
dyrnes;qaqortoq_coast;5602;7057;x
aurland;sogne_fjord;8007;7062;x
nystad;abo_skargard;8671;7017;x
niugtaq;kinak_bay;197;7048;x
vik;sogne_fjord;7967;7064;x
gardr;qaqortoq_coast;5618;7053;x
nordhordland;fens_fjord;7924;7033;x
parapolsky;okhosk_coast1;15136;7052;x
kenai;ursus_cove;852;7052;x
hamrange;gavlebukten;8478;7047;x
tha_anne;mouth_of_thlewiaza;3388;7021;x
tununaq;kinak_bay;183;7041;x
hvalsey;qaqortoq_coast;5595;7041;x
vatnahverfi;qaqortoq_coast;5624;7047;x
takhtoyamsk;okhosk_coast15;14772;7025;x
rekinniki;okhosk_coast1;15121;7041;x
einarsfjord;qaqortoq_coast;5608;7026;x
shetland;sumburgh_head;7638;7012;x
kaghasuq;kinak_bay;237;7033;x
nuciiq;hinchinbrook_bay;982;7004;x
st_matthew;stmatthew_coast3;16215;7015;x
siglufjord;qaqortoq_coast;5631;7020;x
tierp;gavlebukten;8515;7017;x
podkagernoye;okhosk_coast3;15071;7018;x
bergen;fens_fjord;7931;7013;x
altafjord;qaqortoq_coast;5646;7017;x
pakhachi;pakhachi_coast;15379;7021;x
tyulene;ozero_tyulen_ye2;15451;6987;x
eidfjord;hardanger_fjord;8001;7016;x
abo;abo_skargard;8689;7001;x
iliamna;ursus_cove;737;6973;x
voss;hardanger_fjord;7976;7005;x
tilichiki;zapovednik_cape;15258;6999;x
apuka;pakhachi_coast;15417;7002;x
ketilsfjord;qaqortoq_coast;5660;7009;x
lundey;qaqortoq_coast;5633;6997;x
daxunhyuu;galyax_coast;1111;6993;x
ullensvang;hardanger_fjord;7978;7005;x
porvoo;west_gulf_of_finland;8867;6999;x
mekoryuq;dooksook_harbour;118;6969;x
kachemak;ursus_cove;801;6957;x
kymi_fi;west_gulf_of_finland;8887;7006;x
sauvo;abo_skargard;8719;6982;x
fana;bjorna_fjord;7935;6991;x
norrtalje;tralhavet;8559;6974;x
petursvik;qaqortoq_coast;5642;6985;x
skrytaya;zapovednik_cape;15212;6986;x
iiq;kwigillinok_coast;296;6989;x
helsinge;west_gulf_of_finland;8837;6995;x
quinhagaq;kwigillinok_coast;316;6969;x
kwigilingoq;kwigillinok_coast;244;6965;x
moster;hardanger_fjord;7948;6972;x
sjundea;west_gulf_of_finland;8809;6983;x
eggers_o;prins_christianssund_coast;5690;6968;x
lesnaya;okhosk_coast6;15017;6961;x
yakataga;yakutat_bay;1285;6960;x
nanwalek;kenai_fjords;845;6946;x
herjolfsnes;prins_christianssund_coast;5667;6979;x
galyax;galyax_coast;1186;6986;x
kichiga;bukhta_ossora;15145;6974;x
kvinnherad;hardanger_fjord;7955;6968;x
ekenas;west_gulf_of_finland;8769;6974;x
brokhovo;okhosk_coast18;14712;6964;x
laaxaayik;yakutat_bay;1347;6977;x
nunalla;churchill_shoal;3380;6942;x
yaakwdaat;yakutat_bay;1340;6959;x
ski;oslo_fjord;8173;6966;x
oslo;oslo_fjord;8174;6972;x
bragernes;oslo_fjord;8166;6954;x
suledal;bokna_fjord;7966;6942;x
haugalandet;bokna_fjord;7946;6928;x
tauisk;okhosk_coast28;14421;6929;x
magadan;okhosk_coast24;14537;6949;x
stockholm;stockholms_skargard;8542;6936;x
tallinn;west_gulf_of_finland;8835;6947;x
toolse;west_gulf_of_finland;8885;6953;x
swikshak;ursus_cove;701;6933;x
atargan;okhosk_coast24;14595;6937;x
moss;oslo_fjord;8175;6938;x
palana;okhosk_coast6;14978;6929;x
yamsk;okhosk_coast19;14671;6914;x
karaga;bukhta_ossora;15118;6921;x
sande;oslo_fjord;8163;6945;x
mamterat;togiak_harbour;348;6889;x
padise;west_gulf_of_finland;8789;6937;x
tonsberg;skagerrack;8161;6915;x
ushki;okhosk_coast30;14314;6937;x
jilkaat;funter_bay;1529;6925;x
t_aaku;funter_bay;1550;6879;x
ryfylke;bokna_fjord;7965;6921;x
okam;okhosk_coast32;14224;6931;x
sodertalje;stockholms_skargard;8525;6912;x
orkney;pentland_firth;7559;6909;x
borg;skagerrack;8191;6915;x
hapsal;north_central_baltic;8756;6910;x
karagin;bukhta_ossora;15151;6908;x
ul_ya;okhosk_coast34;14113;6867;x
navchak;north_aulatsivik_island;4810;6915;x
gunaaxoo;funter_bay;1482;6882;x
aa_kw;funter_bay;1503;6883;x
stavanger;bokna_fjord;7956;6906;x
des_nedhe;churchill_shoal;3401;6895;x
kaina;north_central_baltic;8712;6898;x
tupirvialuit;keglo_bay;4700;6906;x
stromstad;skagerrack;8198;6904;x
togiaq;togiak_harbour;396;6902;x
aguyaq;kvichak_bay;497;6902;x
igushiq;kvichak_bay;461;6887;x
skien;frier_fjord;8136;6906;x
igiugig;kvichak_bay;544;6897;x
agw_aneq;marmot_bay;759;6853;x
nykoping;braviken;8492;6896;x
sondeled;frier_fjord;8123;6894;x
kangiqsualujjuaq;alukpaluk_bay;4680;6890;x
voyampolka;okhosk_coast7;14947;6886;x
kuujjuaq;alukpaluk_bay;4587;6868;x
wapusk;thompson_point;3461;6858;x
ivashka;karaginsky_coast3;15079;6874;x
hornborg;skagerrack;8201;6883;x
st_martin;gulf_of_riga;8780;6858;x
oyestad;kristiansand_fjord;8085;6859;x
kolmarden;braviken;8466;6881;x
egegik;kvichak_bay;524;6873;x
valjala;north_central_baltic;8724;6880;x
thurso;moray_firth;7546;6860;x
norrkoping;braviken;8435;6883;x
durness;north_minch;7453;6862;x
soderkoping;braviken;8460;6866;x
tongue;cape_wrath;7499;6877;x
qikirtajuaq;alukpaluk_bay;4603;6860;x
qurlutuq;alukpaluk_bay;4647;6869;x
jaeren;obrestad_cape;7957;6869;x
kingmirtok;okak_bay;4838;6856;x
lewis;north_minch;7405;6854;x
tigil;okhosk_coast7;14912;6856;x
amalik;larsen_bay;647;6836;x
s_awdaan;stephens_passage;1609;6825;x
uddevalla;grenen_cape;8219;6853;x
xutsnoowu;stephens_passage;1590;6813;x
kuressaare;gulf_of_riga;8718;6849;x
parnu;gulf_of_riga;8806;6856;x
xunaa;funter_bay;1514;6854;x
flekkefjord;lindesnes_cape;7986;6854;x
harris;north_uist;7367;6834;x
konghalla;kattegatt;8224;6817;x
ugashik;kvichak_bay;515;6827;x
lindesnes;lindesnes_cape;8009;6840;x
oddernes;kristiansand_fjord;8058;6843;x
uka_town;karaginsky_coast3;15072;6826;x
napaktok;okak_bay;4866;6822;x
saarde;gulf_of_riga;8803;6837;x
dornoch;moray_firth;7515;6836;x
ullapool;north_minch;7444;6832;x
tjust;braviken;8456;6842;x
kovran;okhosk_coast10;14834;6808;x
su_naq;marmot_bay;740;6799;x
slite;western_gotland_basin;8530;6822;x
gairloch;north_minch;7427;6807;x
limbazi;gulf_of_riga;8800;6808;x
dingwall;moray_firth;7504;6814;x
dundaga;gulf_of_riga;8721;6814;x
enken;okhosk_coast36;14044;6793;x
sowunusiske;pen_islands;3483;6778;x
skagen;alborg_bugt;8173;6788;x
elgin;moray_firth;7529;6814;x
shtax_heen;stephens_passage;1620;6788;x
skye;little_minch;7399;6779;x
banff;moray_firth;7564;6816;x
buchan;kinnaird_head;7610;6799;x
uist;little_minch;7363;6793;x
kasukuak;chirikof_island;674;6747;x
utlandet;kattegatt;8231;6809;x
visby;western_gotland_basin;8515;6800;x
alinchak;chiginagak_fjords;558;6766;x
hjorring;jammer_bay;8134;6795;x
okak;aulatsivik_island;4879;6786;x
ventspils;coast_of_kurland;8667;6788;x
aniakchak;kvichak_bay;499;6795;x
shee_t_ika;yakobi_coast;1528;6763;x
kungsbacka;kattegatt;8240;6793;x
urquhart;moray_firth;7500;6801;x
kandava;gulf_of_riga;8742;6793;x
hoborg;oland_coast;8530;6771;x
oland;blekinge_kust;8437;6722;x
varberg;kattegatt;8247;6772;x
straupe;gulf_of_riga;8799;6780;x
aberdeen;firth_of_tay;7598;6780;x
ardtornish;little_minch;7419;6757;x
kichekokotic;pen_islands;3548;6785;x
chignik;chiginagak_fjords;505;6720;x
amiq;amiq_coast5;16349;6739;x
tukums;gulf_of_riga;8761;6769;x
aulatsivik;aulatsivik_island;4885;6752;x
thisted;limfjorden;8088;6754;x
stonehaven;firth_of_tay;7591;6759;x
salaspils;gulf_of_riga;8790;6773;x
khayryuzovo;kamtchatka_coast8;14811;6761;x
keex;keku_strait;1627;6726;x
durbe;coast_of_kurland;8665;6769;x
machichi;pen_islands;3486;6770;x
kamisak;kamisak_coast;3621;6761;x
riga;gulf_of_riga;8783;6768;x
grobina;coast_of_kurland;8651;6755;x
sanikiluaq;belcher_islands_coast5;4077;6714;x
aalborg;limfjorden;8136;6760;x
ars;limfjorden;8108;6746;x
halmstad;kattegatt;8266;6746;x
niskibi;kamisak_coast;3663;6742;x
ayan;okhosk_coast37;13969;6717;x
viborg;limfjorden;8105;6740;x
arbroath;firth_of_tay;7577;6739;x
mull;little_minch;7391;6735;x
oban;firth_of_lorne;7442;6732;x
randers;alborg_bugt;8164;6737;x
kangi_asinaq;unga_sea;435;6678;x
nunainguk;aulatsivik_island;4893;6716;x
ringkobing;ringkobing_fjord;8060;6719;x
qingaaluk;salikuit_islands;4199;6700;x
laholm;kattegatt;8280;6733;x
taant_a;metlakatla_sound;1706;6654;x
dundee;firth_of_tay;7563;6726;x
kalo;stora_balt;8176;6709;x
holstebro_lundenes;limfjorden;8086;6730;x
asbo;kattegatt;8269;6728;x
kamchatsk;kamchatskiy_zaliv2;15095;6713;x
perth;firth_of_tay;7547;6722;x
st_andrews;firth_of_tay;7563;6722;x
washeo;shagamu_coast;3702;6706;x
cupar;firth_of_forth;7547;6699;x
hinyaa;alexander_point;1613;6671;x
bregne;blekinge_kust;8406;6705;x
inverary;firth_of_lorne;7432;6713;x
helsingborg;oresund;8268;6696;x
islay;firth_of_lorne;7416;6692;x
aarhus;stora_balt;8160;6694;x
cowal;clyde_firth;7454;6683;x
solvesborg;skanska_kusten;8348;6692;x
ronneby;blekinge_kust;8379;6703;x
helsingor;oresund;8245;6702;x
palanga;coast_of_memel;8649;6696;x
bolling;ringkobing_fjord;8065;6691;x
ukasikalik;aulatsivik_island;4910;6694;x
kintyre;firth_of_lorne;7430;6672;x
dunbar;firth_of_forth;7566;6700;x
saanya;metlakatla_sound;1723;6636;x
dunfermline;firth_of_forth;7538;6695;x
qagaan;sanak_island;296;6627;x
dumbarton;clyde_firth;7481;6690;x
linlithgow;firth_of_forth;7539;6695;x
edinburgh;firth_of_forth;7548;6693;x
kalundborg;stora_balt;8192;6677;x
krutogorovskiy;ichinskiy_coast;14773;6674;x
shagamu;shagamu_coast;3743;6686;x
k_alii_xkalaan;lax_kw_alaams;1775;6689;x
paisley;clyde_firth;7478;6690;x
duns;firth_of_forth;7594;6687;x
qagiigun;unga_sea;392;6640;x
glasgow;clyde_firth;7492;6686;x
memel;curonian_coast;8650;6659;x
agvituk;kaipokok_bay;4948;6652;x
kuujjuarapik;salikuit_islands;4170;6662;x
kolding;stora_balt;8142;6671;x
roskilde;oresund;8228;6677;x
gladsax;skanska_kusten;8346;6663;x
gitxsanimaax;lax_kw_alaams;1775;6630;x
irvine;clyde_firth;7470;6668;x
berwick;firth_of_forth;7604;6674;x
kobenhavn;oresund;8260;6666;x
varde;esperance_bay;8070;6659;x
arran;clyde_firth;7445;6664;x
ministik;mouth_of_the_winisk;3800;6657;x
malmo;arkona_cape;8306;6649;x
alnwick;northumbrian_coast;7618;6659;x
odense;stora_balt;8174;6659;x
assens;lilla_balt;8141;6645;x
avlayakan;southern_udskaya_bay;13874;6635;x
ayr;clyde_firth;7468;6643;x
haderslev;lilla_balt;8132;6645;x
slagelse;stora_balt;8204;6641;x
ringsted;oresund;8258;6642;x
ribe;esperance_bay;8079;6649;x
sobolevo;krutogorovskiy_coast;14773;6614;x
inishowen;lough_foyle;7354;6647;x
morpeth;northumbrian_coast;7620;6645;x
ostrov_beringa;bering_coast3;15278;6614;x
wabuk;mouth_of_the_winisk;3838;6642;x
kaipokok;kaipokok_bay;4975;6635;x
ballycastle;lough_foyle;7408;6643;x
kinusheo;cape_henrietta_maria;3912;6640;x
hammershus;skanska_kusten;8375;6638;x
kilmacrennan;bloody_foreland;7321;6636;x
tupialuviniq;vauquelin_point;4118;6625;x
fischhausen;curonian_coast;8628;6626;x
dunluce;lough_foyle;7395;6643;x
aillik;kaipokok_bay;5009;6623;x
svendborg;lilla_balt;8168;6618;x
coleraine;lough_foyle;7378;6637;x
tonder;north_frisian_islands;8079;6615;x
vordingborg;oresund;8249;6629;x
shantar;southern_udskaya_bay;13936;6608;x
newcastle;northumbrian_coast;7624;6630;x
unimax;sanak_island;252;6598;x
lakitusaki;cape_henrietta_maria;3949;6617;x
aabenraa;lilla_balt;8142;6627;x
derry;lough_foyle;7366;6628;x
donegal;donegal_bay;7305;6596;x
raphoe;lough_foyle;7347;6627;x
stranraer;north_channel;7467;6607;x
durham;northumbrian_coast;7630;6618;x
navskov;stora_balt;8213;6619;x
carrickfergus;north_channel;7430;6605;x
dumfries;solway_firth;7535;6620;x
falster;fischland_coast;8240;6605;x
carlisle;solway_firth;7548;6620;x
kirkcudbright;solway_firth;7511;6608;x
tessuialluk;sloop_harbour_point;5064;6600;x
cockermouth;solway_firth;7532;6611;x
atikuan;vauquelin_point;4077;6611;x
flensburg;lilla_balt;8140;6608;x
lebork;east_pommerania_coast;8498;6611;x
sm_algyax;lax_kw_alaams;1754;6562;x
stockton;northumbrian_coast;7634;6605;x
slupsk;east_pommerania_coast;8470;6603;x
chumikan;southern_udskaya_bay;13859;6603;x
torom;southern_udskaya_bay;13905;6597;x
newtownards;north_channel;7434;6591;x
rugen;fischland_coast;8291;6594;x
konigsberg;vistula_lagoon;8618;6601;x
egremont;solway_firth;7527;6585;x
husum;north_frisian_islands;8087;6588;x
slesvig;lilla_balt;8150;6594;x
brandenburg_prussia;vistula_lagoon;8613;6598;x
belfast;north_channel;7423;6600;x
whitby;flamborough_head;7652;6595;x
slawno;east_pommerania_coast;8438;6588;x
balga;vistula_lagoon;8599;6592;x
heiligenhafen;bay_lubeck;8193;6582;x
dromahair;donegal_bay;7310;6588;x
downpatrick;dundalk_bay;7431;6570;x
scarborough;flamborough_head;7671;6580;x
eckernforde;lilla_balt;8151;6589;x
gdansk;vistula_lagoon;8580;6580;x
stralsund;fischland_coast;8271;6583;x
kirovskiy;oktyabr_skii_coast;14789;6533;x
sligo;donegal_bay;7298;6582;x
plon;lilla_balt;8160;6585;x
frombork;vistula_lagoon;8588;6582;x
mann;north_channel;7481;6577;x
nanghaer;severny_bay;14184;6544;x
ribnitz;fischland_coast;8254;6578;x
kiel;lilla_balt;8155;6580;x
elblag;vistula_lagoon;8577;6576;x
patchepawapoka;bear_islands;3946;6562;x
erris;clew_bay;7232;6563;x
qawalangin;derby_point;132;6543;x
koszalin;pommeranian_coast;8418;6573;x
usalgin;akademiya_bay;13986;6543;x
nurgan;northern_sakhalin_bay;14086;6536;x
skreen;donegal_bay;7285;6575;x
kiis_gwaay;kiusta_point;1643;6565;x
heide;elbe_estuary;8096;6559;x
rostock;bay_lubeck;8244;6570;x
aivitok;sloop_harbour_point;5062;6570;x
tikigaksuagusik;sloop_harbour_point;5031;6566;x
iveagh;dundalk_bay;7420;6559;x
bridlington;humber_estuary;7682;6556;x
kolobrzeg;pommeranian_coast;8401;6569;x
grimmen;pommeranian_bay;8301;6568;x
kendal;liverpool_bay;7549;6562;x
doberan;bay_lubeck;8225;6567;x
wolgast;pommeranian_bay;8311;6565;x
swinousjcie;stettin_lagoon;8336;6544;x
lancaster;liverpool_bay;7559;6561;x
gryfia_gora;pommeranian_coast;8383;6564;x
chisasibi;kakachischuan_point;4092;6543;x
oriel;dundalk_bay;7407;6560;x
kamien;stettin_lagoon;8355;6541;x
dundalk;dundalk_bay;7406;6552;x
inutsualak;sloop_harbour_point;5087;6548;x
eutin;bay_lubeck;8183;6558;x
burrishoole;clew_bay;7237;6543;x
wismar;bay_lubeck;8211;6551;x
lubeck;bay_lubeck;8185;6555;x
grevesmuhlen;bay_lubeck;8199;6557;x
haisla;banks_coast;1828;6540;x
preston;liverpool_bay;7550;6546;x
tugur;southern_udskaya_bay;13914;6545;x
ritzebuttel;jade_bay;8078;6536;x
ekwan;bear_islands;3953;6519;x
hull;humber_estuary;7693;6536;x
neuhaus;elbe_estuary;8117;6543;x
steinburg;elbe_estuary;8119;6540;x
natsitok;sloop_harbour_point;5091;6530;x
anklam;stettin_lagoon;8326;6542;x
jever;jade_bay;8048;6536;x
uivvatok;hawke_island;5141;6519;x
drogheda;dundalk_bay;7407;6534;x
ueckermunde;stettin_lagoon;8341;6539;x
heiltsuk;banks_coast;1813;6495;x
emden;emms_estuary;8013;6522;x
liverpool;liverpool_bay;7549;6521;x
clifden;galway_bay;7250;6500;x
fingal;dundalk_bay;7414;6525;x
elsfleth;jade_bay;8069;6520;x
goleniow;stettin_lagoon;8359;6518;x
grimsby;humber_estuary;7685;6528;x
louth;humber_estuary;7693;6523;x
pinneberg;elbe_estuary;8131;6525;x
stade;elbe_estuary;8131;6525;x
maquatua;kakachischuan_point;4098;6501;x
groningen;emms_estuary;7986;6516;x
gestenthorpe;jade_bay;8081;6522;x
leeuwarden;emms_estuary;7970;6514;x
stettin;stettin_lagoon;8359;6517;x
harlingen;wadden_sea;7940;6512;x
appingedam;emms_estuary;8009;6509;x
mahnahwoonan;kakachischuan_point;4053;6501;x
anglesey;dublin_bay;7483;6500;x
chester;liverpool_bay;7546;6508;x
flint;liverpool_bay;7538;6511;x
dublin;dublin_bay;7413;6502;x
conwy;liverpool_bay;7511;6506;x
denbigh;liverpool_bay;7525;6507;x
hoorn;wadden_sea;7916;6491;x
oktyabr_skii;ozero_bol_shoye;14806;6449;x
ikkatuluk;hawke_island;5149;6482;x
gwaay_haanas;banks_coast;1713;6448;x
galway;galway_bay;7277;6500;x
leer;emms_estuary;8020;6503;x
wedde;emms_estuary;8019;6503;x
akimiski;bear_islands;3987;6474;x
achava;bukhta_mutnaya;14922;6484;x
ennis;galway_bay;7265;6492;x
carnarvon;dublin_bay;7488;6487;x
stavoren;wadden_sea;7936;6487;x
wicklow;st_georges_channel;7415;6477;x
boston;wash;7701;6488;x
attawapiskat;bear_islands;3953;6480;x
akuugun;kagamil_sland;16329;6468;x
sasignan;agattu_island1;15581;6472;x
fakenham;wash;7726;6485;x
bulava;amursky_bay;14120;6455;x
yarmouth;anglian_coast;7762;6473;x
harlech;cardigan_bay;7503;6467;x
moyarta;shannon_estuary;7256;6459;x
spalding;wash;7699;6476;x
mistimakan;cape_hope_islands;4107;6459;x
lynn;wash;7707;6474;x
sloten;zuiderzee;7947;6474;x
wolvega;zuiderzee;7955;6471;x
kampen;zuiderzee;7959;6461;x
otadaonanis;bear_islands;3974;6454;x
ferns;st_georges_channel;7408;6459;x
alkmaar;zuiderzee;7923;6449;x
limerick;shannon_estuary;7278;6462;x
wuliehe;niyskiy_bay;14216;6398;x
tralee;shannon_estuary;7245;6449;x
adare;shannon_estuary;7265;6458;x
catucto;black_bear_bay;5153;6437;x
aberystwyth;cardigan_bay;7503;6447;x
lowestoft;thames;7768;6440;x
harderwijk;zuiderzee;7949;6443;x
amsterdam;zuiderzee;7921;6442;x
wexford;st_georges_channel;7400;6440;x
nuxalc;hakai_coast;1887;6429;x
kitasoo;hakai_coast;1897;6435;x
niigugis;seguam_coast1;16159;6428;x
pitchibourenik;cape_hope_islands;4106;6416;x
the_hague;rhine_estuary;7882;6421;x
dingle;bantry_bay;7226;6424;x
cardigan;cardigan_bay;7488;6431;x
kashechewan;bear_islands;3988;6426;x
amersfoort;zuiderzee;7936;6437;x
idy_sakhalin;aleksandrovskiy_bay;14155;6323;x
new_ross;hook_head;7379;6428;x
